Sequence,Label,NCL,Query Budget,Num Sample Nodes,Fidelity,Gamma
"[97, 168, 3, 66, 211, 32, 45, 5, 204, 190]",1,,,,,
"[168, 97, 32, 211, 5, 45, 115]",1,,,,,
"[32, 5, 66, 97, 45, 168, 211, 3, 204, 115]",1,,,,,
"[129, 165, 243, 20, 46, 119, 149, 35, 170, 6]",1,,,,,
"[35, 20, 54, 46, 129, 119, 170, 229, 148, 165]",1,,,,,
"[168, 97, 145, 38, 211, 204, 45, 32, 3, 57]",1,,,,,
"[207, 180, 201, 178, 122, 226, 208, 26, 41, 68]",1,,,,,
"[243, 20, 149, 35, 170, 165, 6, 129, 54, 119]",1,,,,,
[232],1,2.0,1.0,2.0,0.50199203187251,
[75],0,2.0,1.0,12.0,0.11952191235059761,
[57],1,2.0,1.0,25.0,0.50199203187251,
[171],1,2.0,1.0,37.0,0.50199203187251,
"[225, 156]",0,2.0,2.0,2.0,0.11952191235059761,
[132],1,2.0,2.0,25.0,0.50199203187251,
[77],1,2.0,2.0,37.0,0.50199203187251,
[1],1,2.0,3.0,25.0,0.50199203187251,
"[106, 93]",0,2.0,3.0,37.0,0.1394422310756972,
[124],1,2.0,3.0,50.0,0.50199203187251,
[177],1,2.0,4.0,12.0,0.50199203187251,
"[2, 165, 149, 159]",1,2.0,4.0,37.0,0.549800796812749,
[100],0,2.0,4.0,50.0,0.0199203187250996,
"[175, 36]",0,2.0,5.0,25.0,0.18725099601593626,
[85],1,2.0,5.0,37.0,0.50199203187251,
"[122, 201, 207, 173, 65]",0,2.0,5.0,50.0,0.18326693227091634,
"[171, 215]",1,2.0,6.0,12.0,0.5537848605577689,
"[38, 145]",1,2.0,6.0,37.0,0.545816733067729,
[142],1,2.0,6.0,50.0,0.50199203187251,
"[145, 38]",1,2.0,7.0,12.0,0.545816733067729,
[187],0,2.0,7.0,25.0,0.0199203187250996,
"[12, 3, 66, 5, 32, 190, 204]",1,2.0,7.0,50.0,0.549800796812749,
[238],1,2.0,8.0,25.0,0.50199203187251,
"[168, 97, 45, 32, 5, 101, 211, 115]",1,2.0,8.0,37.0,0.50199203187251,
[185],1,2.0,9.0,12.0,0.50199203187251,
[13],1,2.0,9.0,37.0,0.50199203187251,
"[12, 3, 66, 5, 32, 190, 204, 168, 45]",1,2.0,9.0,50.0,0.5338645418326693,
[65],1,2.0,10.0,12.0,0.50199203187251,
[227],1,2.0,10.0,25.0,0.50199203187251,
[216],1,2.0,10.0,37.0,0.50199203187251,
[171],1,3.0,1.0,2.0,0.50199203187251,
[169],1,3.0,1.0,12.0,0.50199203187251,
[244],0,3.0,1.0,25.0,0.099601593625498,
[46],0,3.0,1.0,37.0,0.099601593625498,
[12],1,3.0,1.0,50.0,0.50199203187251,
[67],0,3.0,2.0,2.0,0.0199203187250996,
"[152, 156]",0,3.0,2.0,12.0,0.15139442231075698,
"[130, 18]",0,3.0,2.0,25.0,0.12350597609561753,
[17],1,3.0,2.0,37.0,0.50199203187251,
"[159, 165]",0,3.0,2.0,50.0,0.099601593625498,
"[75, 184, 37]",0,3.0,3.0,12.0,0.11952191235059761,
"[38, 145]",1,3.0,3.0,25.0,0.5617529880478087,
[137],0,3.0,4.0,25.0,0.11952191235059761,
"[159, 165, 129, 149]",1,3.0,4.0,37.0,0.5418326693227091,
[185],1,3.0,5.0,12.0,0.50199203187251,
[131],0,3.0,5.0,25.0,0.0199203187250996,
"[66, 3, 97, 168, 211]",1,3.0,5.0,50.0,0.5219123505976095,
[9],0,3.0,6.0,25.0,0.0199203187250996,
[137],0,3.0,6.0,37.0,0.11952191235059761,
"[22, 21]",1,3.0,6.0,50.0,0.549800796812749,
"[190, 32, 5, 57, 204, 49, 97]",1,3.0,7.0,12.0,0.5378486055776892,
"[224, 137]",0,3.0,7.0,37.0,0.14342629482071714,
"[175, 36]",0,3.0,7.0,50.0,0.14342629482071714,
"[243, 20, 170, 35, 2, 6, 54, 165]",1,3.0,8.0,12.0,0.545816733067729,
"[203, 74]",1,3.0,8.0,25.0,0.5418326693227091,
"[12, 110]",1,3.0,8.0,50.0,0.5059760956175299,
[216],1,3.0,9.0,12.0,0.50199203187251,
"[148, 229]",1,3.0,9.0,25.0,0.5099601593625498,
[131],0,3.0,9.0,37.0,0.0199203187250996,
[94],1,3.0,9.0,50.0,0.50199203187251,
[216],1,3.0,10.0,12.0,0.50199203187251,
"[171, 215]",1,3.0,10.0,25.0,0.5338645418326693,
[131],0,3.0,10.0,37.0,0.0199203187250996,
"[38, 145]",1,3.0,10.0,50.0,0.5378486055776892,
[2],1,4.0,1.0,2.0,0.50199203187251,
[95],1,4.0,1.0,25.0,0.50199203187251,
[164],1,4.0,1.0,37.0,0.50199203187251,
[19],1,4.0,1.0,50.0,0.50199203187251,
"[46, 54]",0,4.0,2.0,2.0,0.13147410358565736,
[77],1,4.0,3.0,12.0,0.50199203187251,
"[232, 209, 160]",1,4.0,3.0,25.0,0.5179282868525896,
"[207, 201, 122]",1,4.0,3.0,37.0,0.545816733067729,
"[171, 215]",1,4.0,3.0,50.0,0.5338645418326693,
"[41, 180, 29, 226]",1,4.0,4.0,37.0,0.50199203187251,
"[190, 12, 66, 204]",1,4.0,4.0,50.0,0.5258964143426295,
"[248, 132]",1,4.0,5.0,12.0,0.50199203187251,
"[244, 138, 187, 100]",0,4.0,5.0,37.0,0.01593625498007968,
"[178, 207, 173, 26, 208, 201]",0,4.0,6.0,12.0,0.17131474103585656,
"[190, 3, 32, 5, 66, 12]",1,4.0,6.0,37.0,0.5577689243027888,
[140],1,4.0,6.0,50.0,0.50199203187251,
[247],1,4.0,7.0,12.0,0.50199203187251,
"[168, 97, 66, 3, 211, 32, 45]",1,4.0,7.0,37.0,0.5099601593625498,
[1],1,4.0,7.0,50.0,0.50199203187251,
"[2, 54, 35, 6, 170, 20, 46, 243]",1,4.0,8.0,12.0,0.5418326693227091,
[111],1,4.0,8.0,37.0,0.50199203187251,
"[207, 201, 173, 226, 26, 208, 69, 122]",1,4.0,8.0,50.0,0.5338645418326693,
[31],1,4.0,9.0,12.0,0.50199203187251,
[14],1,4.0,9.0,37.0,0.50199203187251,
"[138, 100]",0,4.0,10.0,12.0,0.0199203187250996,
[77],1,4.0,10.0,25.0,0.50199203187251,
"[25, 82, 113]",0,4.0,10.0,37.0,0.14741035856573706,
"[158, 229, 148, 179]",1,4.0,10.0,50.0,0.5657370517928287,
[119],0,5.0,1.0,12.0,0.099601593625498,
[240],0,5.0,1.0,25.0,0.11952191235059761,
"[38, 145]",1,5.0,2.0,2.0,0.5219123505976095,
[93],0,5.0,2.0,12.0,0.11952191235059761,
[139],1,5.0,2.0,25.0,0.50199203187251,
[182],1,5.0,2.0,50.0,0.50199203187251,
[220],1,5.0,3.0,25.0,0.50199203187251,
"[244, 138, 187]",0,5.0,3.0,37.0,0.0199203187250996,
"[69, 29, 41]",1,5.0,3.0,50.0,0.50199203187251,
[125],1,5.0,4.0,12.0,0.50199203187251,
[140],1,5.0,4.0,25.0,0.50199203187251,
[9],0,5.0,4.0,37.0,0.0199203187250996,
"[229, 148, 158]",1,5.0,4.0,50.0,0.5378486055776892,
[105],1,5.0,5.0,12.0,0.50199203187251,
[104],1,5.0,5.0,25.0,0.50199203187251,
"[150, 194]",1,5.0,5.0,37.0,0.50199203187251,
[234],1,5.0,5.0,50.0,0.50199203187251,
"[45, 32, 5, 168, 97, 236]",1,5.0,6.0,37.0,0.5139442231075697,
[65],1,5.0,6.0,50.0,0.50199203187251,
[133],1,5.0,7.0,12.0,0.50199203187251,
[94],1,5.0,7.0,25.0,0.50199203187251,
"[201, 68, 126, 69, 29, 26, 41]",1,5.0,7.0,37.0,0.5179282868525896,
"[232, 209, 160, 67, 61]",0,5.0,7.0,50.0,0.1553784860557769,
"[171, 215]",1,5.0,8.0,25.0,0.5537848605577689,
[142],1,5.0,8.0,37.0,0.50199203187251,
[137],0,5.0,9.0,12.0,0.11952191235059761,
"[229, 148]",1,5.0,9.0,25.0,0.5139442231075697,
"[45, 66, 32, 5, 97, 168, 3, 211, 204]",1,5.0,9.0,50.0,0.5059760956175299,
"[53, 33, 195, 216]",1,5.0,10.0,12.0,0.50199203187251,
"[45, 66, 3, 32, 168, 97, 211, 5, 190, 204]",1,5.0,10.0,37.0,0.5099601593625498,
"[248, 132]",1,5.0,10.0,50.0,0.50199203187251,
[153],1,,12.0,12.0,0.50199203187251,1.5
"[129, 20, 35, 54, 170, 62, 165, 119, 46, 6, 159, 149]",1,,12.0,25.0,0.5418326693227091,1.5
"[101, 5, 32, 168, 211, 45, 115, 97]",1,,12.0,37.0,0.5298804780876494,1.5
"[49, 204, 5, 12, 66, 32, 168, 64, 234, 57, 190, 211, 45, 3, 115]",1,,15.0,25.0,0.5099601593625498,1.5
"[244, 187, 138, 100]",0,,25.0,25.0,0.0199203187250996,1.5
"[145, 38]",1,,25.0,37.0,0.5418326693227091,1.5
"[97, 45, 32, 211, 168, 115, 5]",1,,36.0,37.0,0.5139442231075697,1.5
"[215, 171]",1,,12.0,12.0,0.549800796812749,2.5
"[49, 75, 204, 184, 5, 156, 38, 225, 77, 143, 145, 199]",1,,12.0,37.0,0.5179282868525896,2.5
"[81, 5, 32, 168, 211, 45, 115, 97]",1,,12.0,50.0,0.5099601593625498,2.5
"[207, 69, 39, 26, 173, 51, 201, 178, 126, 180, 68, 182, 8, 226, 29]",1,,15.0,37.0,0.549800796812749,2.5
"[207, 69, 26, 173, 201, 65, 178, 126, 180, 68, 8, 182, 226, 41, 29]",1,,15.0,50.0,0.5258964143426295,2.5
"[129, 243, 20, 54, 35, 170, 62, 165, 119, 46, 159, 149, 2, 6]",1,,25.0,25.0,0.5338645418326693,2.5
"[5, 45, 32, 211, 168, 196, 115, 97]",1,,27.0,50.0,0.5139442231075697,2.5
"[141, 5, 32, 168, 45, 211, 115, 97]",1,,12.0,12.0,0.5099601593625498,3.0
"[49, 204, 5, 66, 32, 168, 57, 190, 211, 86, 45, 3]",1,,12.0,25.0,0.5059760956175299,3.0
"[141, 5, 32, 168, 45, 211, 115, 97]",1,,15.0,25.0,0.5219123505976095,3.0
